ngram_n,term,positive_frequency,negative_frequency,positive_document_frequency,negative_document_frequency,positive_document_prevalence,negative_document_prevalence,log_odds_z,log_likelihood_g2
1,key,12,5,12,5,0.013937282229965157,0.004389815627743635,0.7375719959487579,5.305340844091923
1,touch,12,5,12,4,0.013937282229965157,0.003511852502194908,0.7375719959487579,6.790389279915818
1,therapy,35,20,20,15,0.023228803716608595,0.013169446883230905,0.7335701874531368,2.8491715041252075
1,personal,20,10,19,8,0.022067363530778164,0.007023705004389816,0.7329158493158496,8.3317701155672
1,program,20,10,19,9,0.022067363530778164,0.007901668129938543,0.7329158493158496,7.0957696009541085
1,work,251,181,183,141,0.21254355400696864,0.1237928007023705,0.7308365744755065,28.166979516249683
1,fully,29,16,27,14,0.0313588850174216,0.012291483757682178,0.7259813482276625,8.813586899153986
1,current,29,16,28,13,0.032520325203252036,0.01141352063213345,0.7259813482276625,10.837624739983122
1,never,77,50,71,47,0.08246225319396051,0.041264266900790166,0.7242035090859584,14.819536709087792
1,best,42,25,36,23,0.041811846689895474,0.02019315188762072,0.7200323759831274,7.913074566812096
1,chatgpt,193,137,149,115,0.17305458768873402,0.1009657594381036,0.7186061744872058,22.00313855860319
1,communication,10,4,7,3,0.008130081300813009,0.0026338893766461808,0.705379322353247,2.974894807745279
1,negative,10,4,10,4,0.011614401858304297,0.003511852502194908,0.705379322353247,4.641013299255047
1,cover,10,4,9,4,0.010452961672473868,0.003511852502194908,0.705379322353247,3.6500155225328275
1,seconds,10,4,8,4,0.009291521486643438,0.003511852502194908,0.705379322353247,2.729042128136303
1,english,10,4,7,4,0.008130081300813009,0.003511852502194908,0.705379322353247,1.8932024032334382
1,especially,36,21,32,20,0.03716608594657375,0.01755926251097454,0.7051122527032273,7.360326763514028
1,specific,46,28,43,22,0.04994192799070848,0.019315188762071993,0.704685021208551,14.528168279539774
1,requirements,18,9,11,8,0.012775842044134728,0.007023705004389816,0.6952617579203257,1.7021823496343957
1,bs,8,3,8,3,0.009291521486643438,0.0026338893766461808,0.6745918916559347,3.9938095147726083
1,interaction,8,3,8,3,0.009291521486643438,0.0026338893766461808,0.6745918916559347,3.9938095147726083
1,description,8,3,7,3,0.008130081300813009,0.0026338893766461808,0.6745918916559347,2.974894807745279
1,situations,8,3,8,3,0.009291521486643438,0.0026338893766461808,0.6745918916559347,3.9938095147726083
1,maintain,8,3,8,3,0.009291521486643438,0.0026338893766461808,0.6745918916559347,3.9938095147726083
1,producing,8,3,8,3,0.009291521486643438,0.0026338893766461808,0.6745918916559347,3.9938095147726083
